DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEC0,DE,2005,77,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DED1,DE,2005,52,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DED2,DE,2005,106,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DED3,DE,2005,87,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEE1,DE,2005,7,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEE2,DE,2005,56,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEE3,DE,2005,31,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEF0,DE,2005,125,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DEG0,DE,2005,144,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,DK,DK,2005,23,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR10,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR23,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR24,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR26,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR30,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR41,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR42,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR42,FR,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR43,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR51,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR52,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR53,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR61,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR62,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR71,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR72,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,FR82,FR,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR01,HR,2010,324,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR02,HR,2010,5,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR03,HR,2010,83,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR03,HR,2015,32,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR03,HR,2020,28,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR04,HR,2015,200,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT12,HR05,HR,2020,62,,
