DATAFLOW,LAST UPDATE,freq,direct,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2012,9,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2013,3,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BELGG,2014,4,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,1997,926,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,1998,802,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,1999,855,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2000,829,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2001,799,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2002,596,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2003,500,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2004,494,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2005,440,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2006,512,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2007,589,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2008,588,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2009,157,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2010,238,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2011,303,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2012,277,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2013,263,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2015,117,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2016,519,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2017,38,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BENIE,2018,103,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,1997,2222,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,1998,2053,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,1999,1880,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2000,2055,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2001,2573,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2002,2599,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2003,2692,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2004,2466,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2005,3919,,
ESTAT:MAR_GO_AA(1.0),12/05/26 23:00:00,A,IN,THS_T,BE_0BEOST,2006,3925,,
