DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2019,23083,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2020,23083,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2021,23083,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2022,23083,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2023,23083,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2024,23082,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2025,23082,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT1,2026,23082,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2013,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2014,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2015,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2016,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2017,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2018,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2019,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2020,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2021,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2022,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2023,3780,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2024,3783,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2025,3783,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT11,2026,3783,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2013,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2014,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2015,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2016,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2017,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2018,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2019,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2020,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2021,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2022,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2023,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2024,694,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT111,2025,694,,
